Data_Tag,RESERVOIR,lithology,FWL,GOC,J_A,J_B,J_C,viscosity,expected_recovery,max_porosity,hperm,jperm,has_aquifer,VRR,discovery_pressure,GOR, OOIP ,Comp Height Cap,KH_Max,Max Rate,P90 Rate,P75 Rate,P50 Rate,P25 Rate,P10 Rate,Bubble Point
ESOZ_18D,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200," 6,200,000 ",1600,400000,784,7,24,55,152,300,1800
ESOZ_20,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200," 6,000,000 ",150,10000,26,5,10,18,22,25,1800
ESOZ_21,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200," 3,000,000 ",150,10000,26,5,10,18,22,25,1800
ESOZ_NONE,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200," 2,000,000 ",150,10000,26,5,10,18,22,25,1800
BUENA VISTA AREA,ANT-ED,mixed_porc_sand,-9400,-1600.00,6.575,-0.4075,0.04,1,0.06,0.2,40,-3,FALSE,0,3200,515,750000000,7000,30000,2096,12,78,238,581,858,1600
BUENA VISTA AREA,ANT-SHL,mixed_porc_sand,-9400,-1600.00,6.575,-0.4075,0.04,1,0.03,0.2,40,-3,FALSE,0,3200,515,750000000,7000,10000,2691,282,375,646,1095,1756,1600
BUENA VISTA AREA,ANT-WD,mixed_porc_sand,-9400,-1600.00,6.575,-0.4075,0.04,1,0.06,0.2,40,-3,FALSE,0,3200,515,750000000,7000,40000,2570,31,48,184,608,1078,1600
BUENA VISTA AREA,UP ETCH,sandstone,-3800,-1600.00,6.575,-0.4075,0.04,20,0.19,0.3,40,-3,TRUE,1,1200,200,316000000,2000,20000,3142,7,16,53,187,587,1800
BUENA VISTA AREA,UP DIFF,unconsolidated_sand,-1200,-1600.00,6.575,-0.4075,0.04,20,0.50,0.3,40,-3,TRUE,1,1200,200,316000000,5000,20000,1760,6,13,33,108,488,1600
BUENA VISTA AREA,STEVENS,mixed_porc_sand,-9400,-1600.00,6.575,-0.4075,0.04,1,0.36,0.3,40,-3,FALSE,0,4200,950,316000000,2000,30000,2636,78,200,361,527,964,2800
SHALE,29R,mixed_porc_sand,-9400,-1600.00,6.575,-0.4075,0.04,28,0.07,0.2,40,-3,FALSE,0,4000,1200," 2,968,000,000 ",2000,10000,2636,78,200,361,527,964,2576
SHALE,GSSHALE,mixed_porc_sand,-9400,-1600.00,6.575,-0.4075,0.04,28,0.07,0.2,40,-3,FALSE,0,3300,1200," 538,200,302 ",2000,10000,2636,78,200,361,527,964,2576
WDC,SOZ,sandstone,-3500,-780.00,6.575,-0.4075,0.04,15,0.25,0.26,40,-3,FALSE,0.2,1900,500," 656,000,000 ",800,40000,2636,78,200,361,527,964,1750
OLBI,UKNOWN,unconsolidated_sand,-4500,0.00,6.575,-0.4075,0.04,15,0.60,0.38,40,-3,TRUE,1.2,2800,500," 3,000,000,000 ",2700,233000,429,12,19,50,109,188,1800
